scene,family,variant,partialTick,animationTick,dimension,biome
items,legacy,items,1,60,overworld,plains
inventory,legacy,inventory,1,60,overworld,plains
stress-wide,legacy,stress-wide,1,60,overworld,plains
stress-transparency,legacy,stress-transparency,1,60,overworld,plains
stress-entities,legacy,stress-entities,1,60,overworld,plains
stress-hud,legacy,stress-hud,1,60,overworld,plains
stress-end-wide,end,wide,1,60,the_end,the_end
stress-end-portals,end,portals,0.25,72,the_end,the_end
stress-end-dragon-death,end,dragon-death,0.75,150,the_end,the_end
stress-end-clipping,end,clipping,0.5,80,the_end,the_end
stress-nether-wastes,nether,wastes,0.25,60,the_nether,nether_wastes
stress-nether-soul-sand,nether,soul-sand,0.5,80,the_nether,soul_sand_valley
stress-nether-basalt,nether,basalt,0.75,100,the_nether,basalt_deltas
stress-nether-lava,nether,lava,1,120,the_nether,crimson_forest
stress-submerged-wide,submerged,wide,0.25,40,overworld,warm_ocean
stress-submerged-surface,submerged,surface,0.5,60,overworld,ocean
stress-submerged-swamp,submerged,swamp,0.75,80,overworld,swamp
stress-submerged-beam,submerged,beam,1,100,overworld,deep_ocean
stress-machinery-early,machinery,early,0.25,2,overworld,plains
stress-machinery-middle,machinery,middle,0.5,5,overworld,plains
stress-machinery-late,machinery,late,0.75,8,overworld,plains
stress-machinery-clipping,machinery,clipping,0.5,4,overworld,plains
stress-weather-rain,weather,rain,0.25,60,overworld,plains
stress-weather-snow,weather,snow,0.5,80,overworld,snowy_plains
stress-weather-lightning,weather,lightning,0.75,100,overworld,plains
stress-weather-clouds,weather,clouds,1,120,overworld,windswept_hills
stress-weather-night,weather,night,0.5,160,overworld,plains
stress-weather-blindness,weather,blindness,0.5,40,overworld,plains
stress-weather-darkness,weather,darkness,0.75,60,overworld,deep_dark
stress-weather-powder-snow,weather,powder-snow,0.25,80,overworld,snowy_slopes
